"Season","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"1985","86452","8.6 %","13.6 %","0.63",".261",".327",".406",".733",".144","4.7",".281","","","-19.6","10354","533.2",".325","100"
"1986","86848","8.8 %","15.0 %","0.59",".262",".330",".408",".737",".146","4.4",".286","","","-18.3","10515","501.0",".328","100"
"1987","87396","8.9 %","15.4 %","0.58",".265",".333",".426",".759",".161","4.7",".288","","","-17.8","11123","391.2",".331","100"
"1988","86118","8.4 %","14.3 %","0.58",".259",".324",".391",".715",".131","4.5",".285","","","-26.5","9969","573.6",".321","100"
"1989","86203","8.4 %","14.3 %","0.59",".261",".326",".384",".709",".123","4.5",".288","","","-0.4","9839","460.3",".320","100"
"1990","86322","8.8 %","14.7 %","0.60",".259",".327",".388",".715",".128","4.4",".287","","","-42.2","9848","196.9",".322","100"
"1991","87302","8.9 %","14.8 %","0.60",".260",".329",".395",".724",".135","4.4",".288","","","-8.4","10308","460.7",".325","100"
"1992","86885","8.9 %","14.0 %","0.63",".259",".328",".385",".713",".126","4.5",".285","","","-10.7","9803","419.7",".323","100"
"1993","87575","9.1 %","14.8 %","0.62",".267",".337",".408",".745",".141","4.5",".294","","","-33.6","10778","312.6",".331","100"
"1994","62550","9.5 %","15.4 %","0.62",".273",".345",".434",".779",".161","4.7",".299","","","3.4","8286","367.5",".340","100"
"1995","78874","9.6 %","15.4 %","0.63",".270",".344",".427",".771",".157","4.6",".298","","","-8.8","10300","457.0",".340","100"
"1996","89730","9.6 %","15.7 %","0.61",".277",".350",".445",".795",".168","4.6",".304","","","-16.9","12443","885.9",".347","100"
"1997","87920","9.0 %","16.5 %","0.55",".271",".341",".429",".770",".158","4.5",".302","","","-6.6","11226","403.5",".338","100"
"1998","87882","8.8 %","16.3 %","0.54",".272",".340",".432",".773",".161","4.7",".302","","","5.7","11396","516.7",".338","99"
"1999","88093","9.4 %","15.7 %","0.60",".275",".348",".440",".788",".165","4.6",".302","","","-17.8","11774","304.1",".345","100"
